,precision,recall,f1,support
smooth-or-featured,0.7473341974385083,0.7437388040878563,0.7454848850559309,49917
disk-edge-on,0.9500162651940716,0.9200067867140516,0.9339822496963559,15445
has-spiral-arms,0.8157682055080414,0.8398624626962501,0.8268564675634564,11380
bar,0.6989181016864503,0.5558123751990062,0.5870493175300013,11380
bulge-size,0.5299549460781623,0.4631725169811881,0.45457011884225895,11380
how-rounded,0.8621900184310415,0.8705253208405811,0.865912730378164,32526
edge-on-bulge,0.8311523586980321,0.5612273385681226,0.566104027927823,2475
spiral-winding,0.6717377146893903,0.6469512319878107,0.6553930004820243,7499
spiral-arm-count,0.4359316272354805,0.3814021624802216,0.3751347071225399,7499
merging,0.6245009138809287,0.45185458108560905,0.4918195054100936,49247
