,precision,recall,f1,support
smooth-or-featured,0.8810024640903901,0.8810024640903901,0.8810024640903901,49917
disk-edge-on,0.9572029783101327,0.9572029783101327,0.9572029783101327,15445
has-spiral-arms,0.887609841827768,0.887609841827768,0.887609841827768,11380
bar,0.7102811950790862,0.7102811950790862,0.710281195079086,11380
bulge-size,0.6956942003514939,0.6956942003514939,0.6956942003514939,11380
how-rounded,0.8747463567607453,0.8747463567607453,0.8747463567607453,32526
edge-on-bulge,0.8254545454545454,0.8254545454545454,0.8254545454545454,2475
spiral-winding,0.7066275503400453,0.7066275503400453,0.7066275503400453,7499
spiral-arm-count,0.6736898253100413,0.6736898253100413,0.6736898253100413,7499
merging,0.8822060227018905,0.8822060227018905,0.8822060227018905,49247
