,precision,recall,f1,support
smooth-or-featured,0.7550408912673746,0.7420191537803907,0.7478444795135646,49917
disk-edge-on,0.9376026219022875,0.926291927372753,0.9317951496786512,15445
has-spiral-arms,0.8152241091314032,0.8358090048008304,0.8248158052671664,11380
bar,0.6752476970286464,0.5882869291194642,0.6140587000547346,11380
bulge-size,0.5216583350567127,0.44810970066734734,0.43698778075252365,11380
how-rounded,0.8472585859272853,0.8712681419306585,0.857329532142782,32526
edge-on-bulge,0.6931008547008547,0.555564217098251,0.5428367546284559,2475
spiral-winding,0.6573023339455318,0.6369677249839835,0.6426432471331379,7499
spiral-arm-count,0.3774469998542307,0.34127434361277337,0.3296287514379883,7499
merging,0.6230671141021882,0.44111372401257093,0.4772514048362087,49247
