,precision,recall,f1,support
smooth-or-featured,0.8760342167998878,0.8760342167998878,0.8760342167998879,49917
disk-edge-on,0.95487212690191,0.95487212690191,0.95487212690191,15445
has-spiral-arms,0.8869068541300528,0.8869068541300528,0.8869068541300528,11380
bar,0.7154657293497364,0.7154657293497364,0.7154657293497365,11380
bulge-size,0.6939367311072057,0.6939367311072057,0.6939367311072057,11380
how-rounded,0.8668449855500215,0.8668449855500215,0.8668449855500215,32526
edge-on-bulge,0.8197979797979797,0.8197979797979797,0.8197979797979797,2475
spiral-winding,0.6984931324176556,0.6984931324176556,0.6984931324176556,7499
spiral-arm-count,0.6755567408987865,0.6755567408987865,0.6755567408987865,7499
merging,0.8806627814892277,0.8806627814892277,0.8806627814892277,49247
