,precision,recall,f1,support
smooth-or-featured,0.8769720373716969,0.8760342167998878,0.8763306697454873,49917
disk-edge-on,0.9544355969370883,0.95487212690191,0.9545767292638118,15445
has-spiral-arms,0.8911555274658389,0.8869068541300528,0.8886939765696485,11380
bar,0.6968689372868803,0.7154657293497364,0.6925711306428846,11380
bulge-size,0.683572082161601,0.6939367311072057,0.6689575104306058,11380
how-rounded,0.8699051003292522,0.8668449855500215,0.8674355008426037,32526
edge-on-bulge,0.7940199450919451,0.8197979797979797,0.7874486408083193,2475
spiral-winding,0.6853279476428538,0.6984931324176556,0.686887046406522,7499
spiral-arm-count,0.6638458020735931,0.6755567408987865,0.6543746969490861,7499
merging,0.8488762450605892,0.8806627814892277,0.8513416227660685,49247
