,precision,recall,f1,support
smooth-or-featured,0.7421578932943236,0.7434826035353947,0.7412511192009559,49917
disk-edge-on,0.9396625440596054,0.9246814087064875,0.9319069487817506,15445
has-spiral-arms,0.8127892530705394,0.7610433310472235,0.7824391680057541,11380
bar,0.6571391823986236,0.5505546934871473,0.5747663579979844,11380
bulge-size,0.49893321645352984,0.45293989737679097,0.44948237268051006,11380
how-rounded,0.8458367800089465,0.8703515294043956,0.8560352233163618,32526
edge-on-bulge,0.6705241107952736,0.5526900813013728,0.5467408487092559,2475
spiral-winding,0.6577232863755064,0.6163259748646277,0.6308444625790601,7499
spiral-arm-count,0.4134168131329559,0.32480609312041736,0.31781443449657026,7499
merging,0.6241488457020486,0.42236394101153185,0.4647413944132969,49247
