,precision,recall,f1,support
smooth-or-featured,0.862852334875894,0.862852334875894,0.862852334875894,49917
disk-edge-on,0.9551311103917125,0.9551311103917125,0.9551311103917125,15445
has-spiral-arms,0.8749560632688927,0.8749560632688927,0.8749560632688927,11380
bar,0.6964850615114235,0.6964850615114235,0.6964850615114235,11380
bulge-size,0.6911247803163445,0.6911247803163445,0.6911247803163445,11380
how-rounded,0.8643239254750046,0.8643239254750046,0.8643239254750047,32526
edge-on-bulge,0.8157575757575758,0.8157575757575758,0.8157575757575758,2475
spiral-winding,0.6902253633817842,0.6902253633817842,0.6902253633817842,7499
spiral-arm-count,0.6635551406854248,0.6635551406854248,0.6635551406854248,7499
merging,0.8803378886023514,0.8803378886023514,0.8803378886023514,49247
