,precision,recall,f1,support
smooth-or-featured,0.8691265887422212,0.862852334875894,0.8645765440609251,49917
disk-edge-on,0.9546217322396794,0.9551311103917125,0.9547423245377099,15445
has-spiral-arms,0.8678327829336648,0.8749560632688927,0.8693334895236191,11380
bar,0.6730149496443879,0.6964850615114235,0.6619837975421516,11380
bulge-size,0.6749458810825891,0.6911247803163445,0.6717470248530704,11380
how-rounded,0.8673284166717908,0.8643239254750046,0.8648127716668259,32526
edge-on-bulge,0.7854375395210726,0.8157575757575758,0.784314218259975,2475
spiral-winding,0.6771597736277813,0.6902253633817842,0.6780481502077182,7499
spiral-arm-count,0.6524550683166038,0.6635551406854248,0.6420245553006785,7499
merging,0.8450502244586384,0.8803378886023514,0.8481998076104139,49247
