,precision,recall,f1,support
smooth-or-featured,0.7557401803895464,0.7509919289111999,0.7531845398340377,49917
disk-edge-on,0.937417198004524,0.9322426107174043,0.934797988959026,15445
has-spiral-arms,0.8248473072360005,0.8360958188906807,0.8302709167000912,11380
bar,0.6909348424033951,0.5867093323896407,0.6144456822123358,11380
bulge-size,0.5248885396501664,0.4450674945890606,0.4478913007288819,11380
how-rounded,0.8524621174365361,0.8773827278381159,0.863382130998426,32526
edge-on-bulge,0.5437046952675032,0.5402255883078281,0.537128435832598,2475
spiral-winding,0.6715060135318476,0.6440797227491163,0.6522677899544829,7499
spiral-arm-count,0.44408311704658326,0.3654037921236615,0.3619025848410597,7499
merging,0.6562630287007893,0.43308696062368157,0.4778939685741962,49247
