,precision,recall,f1,support
smooth-or-featured,0.8814231624496665,0.8814231624496665,0.8814231624496665,49917
disk-edge-on,0.9565555195856265,0.9565555195856265,0.9565555195856265,15445
has-spiral-arms,0.892091388400703,0.892091388400703,0.892091388400703,11380
bar,0.7208260105448154,0.7208260105448154,0.7208260105448154,11380
bulge-size,0.6982425307557117,0.6982425307557117,0.6982425307557117,11380
how-rounded,0.8724405091311566,0.8724405091311566,0.8724405091311566,32526
edge-on-bulge,0.821010101010101,0.821010101010101,0.821010101010101,2475
spiral-winding,0.7076943592478997,0.7076943592478997,0.7076943592478997,7499
spiral-arm-count,0.6800906787571677,0.6800906787571677,0.6800906787571677,7499
merging,0.8834446768331066,0.8834446768331066,0.8834446768331066,49247
