,precision,recall,f1,support
smooth-or-featured,0.8820524754399275,0.8814231624496665,0.8816640337796292,49917
disk-edge-on,0.9563294848126351,0.9565555195856265,0.9564262717574253,15445
has-spiral-arms,0.8941188481343121,0.892091388400703,0.8930095142180389,11380
bar,0.7031319594220827,0.7208260105448154,0.6927738785907622,11380
bulge-size,0.6865432988018884,0.6982425307557117,0.6750217933951342,11380
how-rounded,0.8748667170013765,0.8724405091311566,0.8729565508317763,32526
edge-on-bulge,0.7598369809387482,0.821010101010101,0.7842404853133477,2475
spiral-winding,0.6951186721366474,0.7076943592478997,0.6953398279121391,7499
spiral-arm-count,0.6866952141514929,0.6800906787571677,0.6658854342300382,7499
merging,0.8530638091844825,0.8834446768331066,0.8524762303320845,49247
